"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","387","POST /api/scan - Should handle different file formats","webkit","2026-04-09","passed","2026-04-09","POST /api/scan - Scan Endpoint Tests","api-scan.spec.ts","",""
"","223","POST /api/scan - Should accept valid scan configuration","chromium","2026-04-09","passed","2026-04-09","POST /api/scan - Scan Endpoint Tests","api-scan.spec.ts","",""
"","79","GET / - Should return 200 status code","firefox","2026-04-09","passed","2026-04-09","GET /api - Base Endpoint Tests","api-scan.spec.ts","",""
"","67","POST /api/scan - Should handle invalid values","firefox","2026-04-09","passed","2026-04-09","POST /api/scan - Scan Endpoint Tests","api-scan.spec.ts","",""
"","439","POST /api/scan - Should handle different file formats","chromium","2026-04-09","passed","2026-04-09","POST /api/scan - Scan Endpoint Tests","api-scan.spec.ts","",""
"","567","POST /api/scan - Should handle different DPI values","firefox","2026-04-09","passed","2026-04-09","POST /api/scan - Scan Endpoint Tests","api-scan.spec.ts","",""
"","253","POST /api/scan - Should validate color modes","chromium","2026-04-09","passed","2026-04-09","POST /api/scan - Scan Endpoint Tests","api-scan.spec.ts","",""
"","39","Should handle malformed JSON","chromium","2026-04-09","passed","2026-04-09","Error Scenarios","api-scan.spec.ts","",""
"","210","POST /api/scan - Should accept valid scan configuration","webkit","2026-04-09","passed","2026-04-09","POST /api/scan - Scan Endpoint Tests","api-scan.spec.ts","",""
"","86","GET / - Should have valid headers","chromium","2026-04-09","passed","2026-04-09","GET /api - Base Endpoint Tests","api-scan.spec.ts","",""
"","58","GET / - Should have valid headers","firefox","2026-04-09","passed","2026-04-09","GET /api - Base Endpoint Tests","api-scan.spec.ts","",""
"","69","POST /api/scan - Response time performance check","chromium","2026-04-09","passed","2026-04-09","POST /api/scan - Scan Endpoint Tests","api-scan.spec.ts","",""
"","316","POST /api/scan - Should handle different DPI values","chromium","2026-04-09","passed","2026-04-09","POST /api/scan - Scan Endpoint Tests","api-scan.spec.ts","",""
"","462","POST /api/scan - Should handle different page sizes","chromium","2026-04-09","passed","2026-04-09","POST /api/scan - Scan Endpoint Tests","api-scan.spec.ts","",""
"","114","POST /api/scan - Response time performance check","firefox","2026-04-09","passed","2026-04-09","POST /api/scan - Scan Endpoint Tests","api-scan.spec.ts","",""
"","186","POST /api/scan - Should validate color modes","firefox","2026-04-09","passed","2026-04-09","POST /api/scan - Scan Endpoint Tests","api-scan.spec.ts","",""
"","20","Should handle connection error gracefully","webkit","2026-04-09","passed","2026-04-09","Error Scenarios","api-scan.spec.ts","",""
"","273","POST /api/scan - Should handle different page sizes","firefox","2026-04-09","passed","2026-04-09","POST /api/scan - Scan Endpoint Tests","api-scan.spec.ts","",""
"","24","Should handle malformed JSON","webkit","2026-04-09","passed","2026-04-09","Error Scenarios","api-scan.spec.ts","",""
"","78","GET / - Should have valid headers","webkit","2026-04-09","passed","2026-04-09","GET /api - Base Endpoint Tests","api-scan.spec.ts","",""
"","117","POST /api/scan - Should validate required fields","chromium","2026-04-09","passed","2026-04-09","POST /api/scan - Scan Endpoint Tests","api-scan.spec.ts","",""
"","444","POST /api/scan - Should handle different file formats","firefox","2026-04-09","passed","2026-04-09","POST /api/scan - Scan Endpoint Tests","api-scan.spec.ts","",""
"","220","POST /api/scan - Should accept valid scan configuration","firefox","2026-04-09","passed","2026-04-09","POST /api/scan - Scan Endpoint Tests","api-scan.spec.ts","",""
"","78","GET / - Should return 200 status code","chromium","2026-04-09","passed","2026-04-09","GET /api - Base Endpoint Tests","api-scan.spec.ts","",""
"","21","Should handle malformed JSON","firefox","2026-04-09","passed","2026-04-09","Error Scenarios","api-scan.spec.ts","",""
"","13","Should handle connection error gracefully","firefox","2026-04-09","passed","2026-04-09","Error Scenarios","api-scan.spec.ts","",""
"","124","POST /api/scan - Should validate color modes","webkit","2026-04-09","passed","2026-04-09","POST /api/scan - Scan Endpoint Tests","api-scan.spec.ts","",""
"","489","POST /api/scan - Should handle different DPI values","webkit","2026-04-09","passed","2026-04-09","POST /api/scan - Scan Endpoint Tests","api-scan.spec.ts","",""
"","71","POST /api/scan - Should handle invalid values","chromium","2026-04-09","passed","2026-04-09","POST /api/scan - Scan Endpoint Tests","api-scan.spec.ts","",""
"","72","GET / - Should return 200 status code","webkit","2026-04-09","passed","2026-04-09","GET /api - Base Endpoint Tests","api-scan.spec.ts","",""
"","75","POST /api/scan - Should handle invalid values","webkit","2026-04-09","passed","2026-04-09","POST /api/scan - Scan Endpoint Tests","api-scan.spec.ts","",""
"","122","POST /api/scan - Should validate required fields","firefox","2026-04-09","passed","2026-04-09","POST /api/scan - Scan Endpoint Tests","api-scan.spec.ts","",""
"","94","POST /api/scan - Should validate required fields","webkit","2026-04-09","passed","2026-04-09","POST /api/scan - Scan Endpoint Tests","api-scan.spec.ts","",""
"","292","POST /api/scan - Should handle different page sizes","webkit","2026-04-09","passed","2026-04-09","POST /api/scan - Scan Endpoint Tests","api-scan.spec.ts","",""
"","88","POST /api/scan - Response time performance check","webkit","2026-04-09","passed","2026-04-09","POST /api/scan - Scan Endpoint Tests","api-scan.spec.ts","",""
"","21","Should handle connection error gracefully","chromium","2026-04-09","passed","2026-04-09","Error Scenarios","api-scan.spec.ts","",""
